date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:23	41445/41445	---M--	200	added ('OK')	image/png	etag:%2204bea5ae97d71:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/ppvirtualgames.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/ppvirtualgames3895.png	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:23	116443/116443	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2010:53:19%20GMT	https://www-n2b.nexuswlb.com/desktop/sport/sbo-virtual-sports	C:/Users/Goon/Downloads/Nexus/www-n2b.nexuswlb.com/desktop/sport/sbo-virtual-sports.html	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:24	32598/32598	---M--	200	added ('OK')	image/png	etag:%220ce75e4e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/sbovirtualgames.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/sbovirtualgames3895.png	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:25	116494/116494	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2010:53:24%20GMT	https://www-n2b.nexuswlb.com/desktop/sport/tf-gaming	C:/Users/Goon/Downloads/Nexus/www-n2b.nexuswlb.com/desktop/sport/tf-gaming.html	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:26	160213/160213	---M--	200	added ('OK')	image/jpeg	etag:%220ce75e4e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/banners/sports/banner.jpg?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/banners/sports/banner3895.jpg	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:27	3540/3540	---M--	200	added ('OK')	image/png	etag:%220ce75e4e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/decorations/coins/coin-1.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/decorations/coins/coin-13895.png	(from https://www-n2b.nexuswlb.com/desktop/arcade)
18:53:29	10728/10728	---M--	200	added ('OK')	image/png	etag:%220ce75e4e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/decorations/coins/coin-2.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/decorations/coins/coin-23895.png	(from https://www-n2b.nexuswlb.com/desktop/arcade)
18:53:29	28970/28970	---M--	200	added ('OK')	image/jpeg	etag:%220a144e3e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/backgrounds/arcade.jpg?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/backgrounds/arcade3895.jpg	(from https://www-n2b.nexuswlb.com/desktop/arcade)
18:53:30	44185/44185	---M--	200	added ('OK')	image/png	etag:%22033ada133a8d71:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/tfgaming.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/icons/sports/tfgaming3895.png	(from https://www-n2b.nexuswlb.com/desktop/sport)
18:53:30	3438/3438	---M--	200	added ('OK')	image/png	etag:%220be604fab30d71:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/tabs/arcade/PP.png?v=20211105	C:/Users/Goon/Downloads/Nexus/nx-cdn.trgwl.com/Images/nexus-beta/dark-gold/desktop/providers/tabs/arcade/PP3895.png	(from https://www-n2b.nexuswlb.com/desktop/arcade)
